bidder_id,item,value
0,station_4_6,27.02
0,station_3_6,27.01
0,station_2_6,26.97
0,station_5_6,26.94
0,station_1_6,26.92
0,station_0_6,26.89
1,station_4_11,15.0
1,station_3_11,14.98
1,station_5_11,14.98
1,station_2_14,14.94
1,station_0_8,14.92
1,station_1_11,14.91
2,station_1_19,22.87
2,station_4_22,22.86
2,station_3_22,22.85
2,station_5_22,22.85
2,station_0_22,22.85
2,station_2_19,22.84
3,station_5_2,102.19
3,station_0_2,102.13
3,station_4_3,101.98
3,station_1_3,101.96
3,station_3_2,101.96
3,station_2_3,101.91
4,station_4_7,179.52
4,station_3_7,179.47
4,station_5_7,179.37
4,station_2_7,179.35
4,station_1_7,179.26
4,station_0_7,179.23
5,station_3_13,24.55
5,station_4_13,24.55
5,station_2_12,24.53
5,station_1_13,24.43
5,station_5_13,24.39
5,station_0_15,24.34
6,station_5_17,29.56
6,station_0_17,29.5
6,station_4_17,29.48
6,station_3_17,29.46
6,station_1_17,29.43
6,station_2_17,29.42
7,station_4_9,43.75
7,station_3_21,43.73
7,station_2_21,43.66
7,station_5_21,43.59
7,station_1_9,43.59
7,station_0_16,43.53
8,station_4_0,17.97
9,station_1_12,16.2
9,station_0_12,16.15
9,station_2_12,16.13
9,station_3_12,16.12
9,station_5_12,16.11
9,station_4_12,16.11
10,station_2_17,16.37
10,station_1_22,16.33
10,station_3_22,16.33
10,station_4_22,16.31
10,station_0_16,16.22
10,station_5_22,16.21
11,station_5_5,37.49
11,station_4_10,37.48
11,station_3_10,37.46
11,station_0_5,37.4
11,station_2_5,37.4
11,station_1_5,37.36
12,station_1_1,164.28
12,station_0_1,164.23
12,station_2_1,164.22
12,station_3_1,164.2
12,station_4_1,164.19
12,station_5_1,164.18
13,station_1_9,82.9
13,station_2_15,82.88
13,station_3_15,82.8
13,station_4_15,82.76
13,station_0_15,82.67
13,station_5_13,82.62
14,station_3_21,66.74
14,station_2_21,66.74
14,station_4_21,66.72
14,station_1_17,66.67
14,station_5_18,66.61
14,station_0_21,66.6
15,station_0_1,99.12
15,station_5_1,99.05
15,station_1_1,98.8
15,station_4_1,98.71
15,station_3_1,98.69
15,station_2_1,98.65
16,station_5_1,19.51
17,station_5_15,161.1
17,station_0_15,160.9
17,station_4_15,160.82
17,station_3_15,160.76
17,station_1_15,160.66
17,station_2_15,160.64
18,station_5_23,11.03
18,station_0_23,10.96
18,station_4_23,10.95
18,station_3_23,10.94
18,station_1_23,10.92
18,station_2_23,10.91
19,station_5_1,9.69
19,station_4_1,9.66
19,station_3_1,9.65
19,station_0_1,9.65
19,station_1_1,9.62
19,station_2_1,9.62
20,station_0_6,47.16
20,station_5_6,47.1
20,station_1_6,47.06
20,station_4_4,46.99
20,station_3_4,46.99
20,station_2_6,46.99
21,station_5_8,139.98
