item,first_10_count
station_0_0,0
station_0_1,10
station_0_2,0
station_0_3,10
station_0_4,0
station_0_5,6
station_0_6,10
station_0_7,10
station_0_8,0
station_0_9,0
station_0_10,0
station_0_11,0
station_0_12,0
station_0_13,0
station_0_14,0
station_0_15,0
station_0_16,0
station_0_17,8
station_0_18,0
station_0_19,6
station_0_20,9
station_0_21,0
station_0_22,0
station_0_23,0
station_1_0,0
station_1_1,4
station_1_2,0
station_1_3,0
station_1_4,0
station_1_5,0
station_1_6,0
station_1_7,0
station_1_8,0
station_1_9,10
station_1_10,5
station_1_11,0
station_1_12,10
station_1_13,0
station_1_14,0
station_1_15,0
station_1_16,0
station_1_17,0
station_1_18,10
station_1_19,9
station_1_20,7
station_1_21,0
station_1_22,0
station_1_23,0
station_2_0,0
station_2_1,0
station_2_2,0
station_2_3,0
station_2_4,0
station_2_5,0
station_2_6,0
station_2_7,0
station_2_8,0
station_2_9,1
station_2_10,2
station_2_11,10
station_2_12,0
station_2_13,0
station_2_14,0
station_2_15,0
station_2_16,0
station_2_17,9
station_2_18,0
station_2_19,6
station_2_20,0
station_2_21,8
station_2_22,0
station_2_23,0
station_3_0,0
station_3_1,8
station_3_2,8
station_3_3,10
station_3_4,0
station_3_5,0
station_3_6,9
station_3_7,2
station_3_8,0
station_3_9,9
station_3_10,2
station_3_11,9
station_3_12,0
station_3_13,10
station_3_14,9
station_3_15,0
station_3_16,0
station_3_17,0
station_3_18,0
station_3_19,4
station_3_20,0
station_3_21,3
station_3_22,2
station_3_23,0
station_4_0,10
station_4_1,0
station_4_2,0
station_4_3,9
station_4_4,0
station_4_5,0
station_4_6,1
station_4_7,9
station_4_8,0
station_4_9,10
station_4_10,5
station_4_11,1
station_4_12,0
station_4_13,0
station_4_14,0
station_4_15,0
station_4_16,0
station_4_17,0
station_4_18,0
station_4_19,2
station_4_20,0
station_4_21,1
station_4_22,0
station_4_23,0
station_5_0,0
station_5_1,17
station_5_2,10
station_5_3,0
station_5_4,0
station_5_5,12
station_5_6,1
station_5_7,0
station_5_8,10
station_5_9,0
station_5_10,2
station_5_11,1
station_5_12,10
station_5_13,0
station_5_14,0
station_5_15,10
station_5_16,0
station_5_17,15
station_5_18,10
station_5_19,11
station_5_20,3
station_5_21,0
station_5_22,0
station_5_23,1
