item,demand_count
station_0_0,0.000000
station_0_1,4.000000
station_0_2,1.000000
station_0_3,2.000000
station_0_4,0.000000
station_0_5,2.000000
station_0_6,2.000000
station_0_7,4.000000
station_0_8,2.000000
station_0_9,1.000000
station_0_10,3.000000
station_0_11,1.000000
station_0_12,2.000000
station_0_13,0.000000
station_0_14,1.000000
station_0_15,3.000000
station_0_16,2.000000
station_0_17,1.000000
station_0_18,0.000000
station_0_19,3.000000
station_0_20,3.000000
station_0_21,2.000000
station_0_22,1.000000
station_0_23,1.000000
station_1_0,0.000000
station_1_1,5.000000
station_1_2,0.000000
station_1_3,2.000000
station_1_4,0.000000
station_1_5,2.000000
station_1_6,3.000000
station_1_7,3.000000
station_1_8,1.000000
station_1_9,4.000000
station_1_10,2.000000
station_1_11,2.000000
station_1_12,3.000000
station_1_13,1.000000
station_1_14,0.000000
station_1_15,1.000000
station_1_16,0.000000
station_1_17,2.000000
station_1_18,1.000000
station_1_19,3.000000
station_1_20,2.000000
station_1_21,1.000000
station_1_22,1.000000
station_1_23,3.000000
station_2_0,0.000000
station_2_1,3.000000
station_2_2,0.000000
station_2_3,3.000000
station_2_4,0.000000
station_2_5,2.000000
station_2_6,2.000000
station_2_7,3.000000
station_2_8,1.000000
station_2_9,2.000000
station_2_10,3.000000
station_2_11,2.000000
station_2_12,3.000000
station_2_13,1.000000
station_2_14,1.000000
station_2_15,2.000000
station_2_16,0.000000
station_2_17,4.000000
station_2_18,0.000000
station_2_19,4.000000
station_2_20,1.000000
station_2_21,4.000000
station_2_22,0.000000
station_2_23,1.000000
station_3_0,0.000000
station_3_1,3.000000
station_3_2,4.000000
station_3_3,1.000000
station_3_4,1.000000
station_3_5,0.000000
station_3_6,1.000000
station_3_7,3.000000
station_3_8,0.000000
station_3_9,2.000000
station_3_10,3.000000
station_3_11,3.000000
station_3_12,3.000000
station_3_13,2.000000
station_3_14,1.000000
station_3_15,2.000000
station_3_16,0.000000
station_3_17,2.000000
station_3_18,1.000000
station_3_19,3.000000
station_3_20,0.000000
station_3_21,5.000000
station_3_22,2.000000
station_3_23,1.000000
station_4_0,1.000000
station_4_1,3.000000
station_4_2,0.000000
station_4_3,3.000000
station_4_4,1.000000
station_4_5,2.000000
station_4_6,1.000000
station_4_7,4.000000
station_4_8,2.000000
station_4_9,3.000000
station_4_10,3.000000
station_4_11,3.000000
station_4_12,3.000000
station_4_13,1.000000
station_4_14,0.000000
station_4_15,2.000000
station_4_16,1.000000
station_4_17,1.000000
station_4_18,0.000000
station_4_19,3.000000
station_4_20,1.000000
station_4_21,3.000000
station_4_22,2.000000
station_4_23,1.000000
station_5_0,0.000000
station_5_1,5.000000
station_5_2,1.000000
station_5_3,3.000000
station_5_4,0.000000
station_5_5,2.000000
station_5_6,3.000000
station_5_7,3.000000
station_5_8,1.000000
station_5_9,2.000000
station_5_10,4.000000
station_5_11,3.000000
station_5_12,2.000000
station_5_13,2.000000
station_5_14,0.000000
station_5_15,1.000000
station_5_16,0.000000
station_5_17,4.000000
station_5_18,2.000000
station_5_19,3.000000
station_5_20,3.000000
station_5_21,2.000000
station_5_22,2.000000
station_5_23,1.000000
