item,weighted_demand
station_0_0,0.000000
station_0_1,0.666667
station_0_2,0.166667
station_0_3,0.333333
station_0_4,0.000000
station_0_5,0.333333
station_0_6,0.333333
station_0_7,0.700000
station_0_8,0.333333
station_0_9,0.166667
station_0_10,0.500000
station_0_11,0.166667
station_0_12,0.333333
station_0_13,0.000000
station_0_14,0.166667
station_0_15,0.500000
station_0_16,0.333333
station_0_17,0.166667
station_0_18,0.000000
station_0_19,0.533333
station_0_20,0.500000
station_0_21,0.333333
station_0_22,0.166667
station_0_23,0.166667
station_1_0,0.000000
station_1_1,0.833333
station_1_2,0.000000
station_1_3,0.333333
station_1_4,0.000000
station_1_5,0.333333
station_1_6,0.500000
station_1_7,0.533333
station_1_8,0.166667
station_1_9,0.700000
station_1_10,0.333333
station_1_11,0.333333
station_1_12,0.500000
station_1_13,0.166667
station_1_14,0.000000
station_1_15,0.166667
station_1_16,0.000000
station_1_17,0.333333
station_1_18,0.166667
station_1_19,0.500000
station_1_20,0.333333
station_1_21,0.166667
station_1_22,0.166667
station_1_23,0.533333
station_2_0,0.000000
station_2_1,0.500000
station_2_2,0.000000
station_2_3,0.500000
station_2_4,0.000000
station_2_5,0.333333
station_2_6,0.333333
station_2_7,0.500000
station_2_8,0.166667
station_2_9,0.333333
station_2_10,0.533333
station_2_11,0.333333
station_2_12,0.500000
station_2_13,0.166667
station_2_14,0.166667
station_2_15,0.333333
station_2_16,0.000000
station_2_17,0.700000
station_2_18,0.000000
station_2_19,0.700000
station_2_20,0.166667
station_2_21,0.666667
station_2_22,0.000000
station_2_23,0.166667
station_3_0,0.000000
station_3_1,0.500000
station_3_2,0.666667
station_3_3,0.166667
station_3_4,0.166667
station_3_5,0.000000
station_3_6,0.166667
station_3_7,0.533333
station_3_8,0.000000
station_3_9,0.366667
station_3_10,0.500000
station_3_11,0.500000
station_3_12,0.500000
station_3_13,0.333333
station_3_14,0.166667
station_3_15,0.333333
station_3_16,0.000000
station_3_17,0.333333
station_3_18,0.166667
station_3_19,0.566667
station_3_20,0.000000
station_3_21,0.833333
station_3_22,0.333333
station_3_23,0.166667
station_4_0,1.000000
station_4_1,0.500000
station_4_2,0.000000
station_4_3,0.500000
station_4_4,0.166667
station_4_5,0.333333
station_4_6,0.166667
station_4_7,0.700000
station_4_8,0.333333
station_4_9,0.533333
station_4_10,0.500000
station_4_11,0.500000
station_4_12,0.500000
station_4_13,0.166667
station_4_14,0.000000
station_4_15,0.333333
station_4_16,0.166667
station_4_17,0.166667
station_4_18,0.000000
station_4_19,0.566667
station_4_20,0.166667
station_4_21,0.500000
station_4_22,0.333333
station_4_23,0.166667
station_5_0,0.000000
station_5_1,2.500000
station_5_2,0.166667
station_5_3,0.500000
station_5_4,0.000000
station_5_5,1.166667
station_5_6,0.500000
station_5_7,0.533333
station_5_8,0.166667
station_5_9,0.333333
station_5_10,1.533333
station_5_11,0.500000
station_5_12,0.333333
station_5_13,0.333333
station_5_14,0.000000
station_5_15,0.166667
station_5_16,0.000000
station_5_17,1.533333
station_5_18,1.166667
station_5_19,0.533333
station_5_20,0.500000
station_5_21,0.333333
station_5_22,0.333333
station_5_23,0.166667
