bidder,items_cca,items_mlcca,count_cca,count_mlcca
Bidder_0,station_3_6,station_3_6,1,1
Bidder_1,,station_1_11,0,1
Bidder_2,station_1_19,station_1_19,1,1
Bidder_3,station_5_2,station_5_2,1,1
Bidder_4,station_4_7,station_4_7,1,1
Bidder_5,station_3_13,station_3_13,1,1
Bidder_6,station_0_17,station_0_17,1,1
Bidder_7,station_4_9,station_4_9,1,1
Bidder_8,station_4_0,station_4_0,1,1
Bidder_9,station_1_12,station_1_12,1,1
Bidder_10,station_2_17,station_2_17,1,1
Bidder_11,station_0_5,station_4_10,1,1
Bidder_12,station_3_1,station_1_1,1,1
Bidder_13,station_1_9,station_1_9,1,1
Bidder_14,station_2_21,station_2_21,1,1
Bidder_15,station_0_1,station_0_1,1,1
Bidder_16,,,0,0
Bidder_17,station_5_15,station_5_15,1,1
Bidder_18,,station_0_23,0,1
Bidder_19,,station_2_1,0,1
Bidder_20,station_0_6,station_0_6,1,1
Bidder_21,station_5_8,station_5_8,1,1
Bidder_22,station_1_20,station_5_20,1,1
Bidder_23,station_1_18,station_1_18,1,1
Bidder_24,station_4_3,station_4_3,1,1
Bidder_25,station_5_12,station_5_12,1,1
Bidder_26,station_0_19,station_4_19,1,1
Bidder_27,station_3_3,station_3_3,1,1
Bidder_28,station_0_3,station_0_3,1,1
Bidder_29,station_1_10,station_2_10,1,1
Bidder_30,station_5_17,station_5_17,1,1
Bidder_31,station_5_19,station_5_19,1,1
Bidder_32,station_5_5,station_5_5,1,1
Bidder_33,station_3_9,station_3_9,1,1
Bidder_34,,station_3_18,0,1
Bidder_35,,station_3_17,0,1
Bidder_36,station_5_1,station_5_1,1,1
Bidder_37,,station_5_10,0,1
Bidder_38,station_2_19,station_2_19,1,1
Bidder_39,,station_1_21,0,1
Bidder_40,,station_5_6,0,1
Bidder_41,station_3_14,station_3_14,1,1
Bidder_42,station_5_18,station_5_18,1,1
Bidder_43,station_2_11,station_2_11,1,1
Bidder_44,station_0_7,station_0_7,1,1
Bidder_45,,station_4_8,0,1
Bidder_46,,station_4_20,0,1
Bidder_47,station_0_20,station_0_20,1,1
Bidder_48,station_3_2,station_3_2,1,1
Bidder_49,station_3_11,station_3_11,1,1
