round,bidder_id,top1_item,is_station_5_1,price_station_5_1
1,0,station_4_6,0,0.0
1,1,station_4_11,0,0.0
1,2,station_1_19,0,0.0
1,3,station_5_2,0,0.0
1,4,station_4_7,0,0.0
1,5,station_3_13,0,0.0
1,6,station_5_17,0,0.0
1,7,station_4_9,0,0.0
1,8,station_4_0,0,0.0
1,9,station_1_12,0,0.0
1,10,station_2_17,0,0.0
1,11,station_5_5,0,0.0
1,12,station_1_1,0,0.0
1,13,station_1_9,0,0.0
1,14,station_3_21,0,0.0
1,15,station_0_1,0,0.0
1,16,station_5_1,1,0.0
1,17,station_5_15,0,0.0
1,18,station_5_23,0,0.0
1,19,station_5_1,1,0.0
1,20,station_0_6,0,0.0
1,21,station_5_8,0,0.0
1,22,station_0_20,0,0.0
1,23,station_1_18,0,0.0
1,24,station_4_3,0,0.0
1,25,station_5_12,0,0.0
1,26,station_5_17,0,0.0
1,27,station_3_3,0,0.0
1,28,station_0_3,0,0.0
1,29,station_4_10,0,0.0
1,30,station_5_17,0,0.0
1,31,station_5_19,0,0.0
1,32,station_5_5,0,0.0
1,33,station_4_9,0,0.0
1,34,station_5_19,0,0.0
1,35,station_5_17,0,0.0
1,36,station_5_1,1,0.0
1,37,station_5_10,0,0.0
1,38,station_3_19,0,0.0
1,39,station_4_21,0,0.0
1,40,station_5_6,0,0.0
1,41,station_2_9,0,0.0
1,42,station_5_18,0,0.0
1,43,station_2_11,0,0.0
1,44,station_0_7,0,0.0
1,45,station_5_10,0,0.0
1,46,station_5_20,0,0.0
1,47,station_0_20,0,0.0
1,48,station_1_1,0,0.0
1,49,station_5_11,0,0.0
2,0,station_3_6,0,15.433290326433331
2,1,,0,15.433290326433331
2,2,station_3_22,0,15.433290326433331
2,3,station_5_2,0,15.433290326433331
2,4,station_3_7,0,15.433290326433331
2,5,station_3_13,0,15.433290326433331
2,6,station_5_17,0,15.433290326433331
2,7,station_3_21,0,15.433290326433331
2,8,station_4_0,0,15.433290326433331
2,9,station_1_12,0,15.433290326433331
2,10,station_3_22,0,15.433290326433331
2,11,station_3_10,0,15.433290326433331
2,12,station_1_1,0,15.433290326433331
2,13,station_1_9,0,15.433290326433331
2,14,station_3_21,0,15.433290326433331
2,15,station_0_1,0,15.433290326433331
2,16,station_5_1,1,15.433290326433331
2,17,station_5_15,0,15.433290326433331
2,18,,0,15.433290326433331
2,19,,0,15.433290326433331
2,20,station_0_6,0,15.433290326433331
2,21,station_5_8,0,15.433290326433331
2,22,station_0_20,0,15.433290326433331
2,23,station_1_18,0,15.433290326433331
2,24,station_3_7,0,15.433290326433331
2,25,station_5_12,0,15.433290326433331
2,26,station_5_17,0,15.433290326433331
2,27,station_3_3,0,15.433290326433331
2,28,station_0_3,0,15.433290326433331
2,29,station_3_10,0,15.433290326433331
2,30,station_5_17,0,15.433290326433331
2,31,station_5_19,0,15.433290326433331
2,32,station_5_5,0,15.433290326433331
2,33,station_3_9,0,15.433290326433331
2,34,,0,15.433290326433331
2,35,,0,15.433290326433331
2,36,station_5_1,1,15.433290326433331
2,37,,0,15.433290326433331
2,38,station_3_19,0,15.433290326433331
2,39,,0,15.433290326433331
2,40,,0,15.433290326433331
2,41,station_3_14,0,15.433290326433331
2,42,station_5_18,0,15.433290326433331
2,43,station_2_11,0,15.433290326433331
2,44,station_0_7,0,15.433290326433331
2,45,,0,15.433290326433331
2,46,,0,15.433290326433331
2,47,station_0_20,0,15.433290326433331
2,48,station_1_1,0,15.433290326433331
2,49,station_3_11,0,15.433290326433331
3,0,station_3_6,0,16.204954842754997
3,1,,0,16.204954842754997
3,2,station_1_19,0,16.204954842754997
3,3,station_5_2,0,16.204954842754997
3,4,station_4_7,0,16.204954842754997
3,5,station_3_13,0,16.204954842754997
3,6,station_0_17,0,16.204954842754997
3,7,station_4_9,0,16.204954842754997
3,8,station_4_0,0,16.204954842754997
3,9,station_1_12,0,16.204954842754997
3,10,station_2_17,0,16.204954842754997
3,11,station_5_5,0,16.204954842754997
3,12,station_3_1,0,16.204954842754997
3,13,station_1_9,0,16.204954842754997
3,14,station_2_21,0,16.204954842754997
3,15,station_0_1,0,16.204954842754997
3,16,station_5_1,1,16.204954842754997
3,17,station_5_15,0,16.204954842754997
3,18,,0,16.204954842754997
3,19,,0,16.204954842754997
3,20,station_0_6,0,16.204954842754997
3,21,station_5_8,0,16.204954842754997
3,22,station_5_20,0,16.204954842754997
3,23,station_1_18,0,16.204954842754997
3,24,station_4_3,0,16.204954842754997
3,25,station_5_12,0,16.204954842754997
3,26,station_3_19,0,16.204954842754997
3,27,station_3_3,0,16.204954842754997
3,28,station_0_3,0,16.204954842754997
3,29,station_4_10,0,16.204954842754997
3,30,station_5_17,0,16.204954842754997
3,31,station_5_19,0,16.204954842754997
3,32,station_5_5,0,16.204954842754997
3,33,station_3_9,0,16.204954842754997
3,34,,0,16.204954842754997
3,35,,0,16.204954842754997
3,36,station_5_1,1,16.204954842754997
3,37,,0,16.204954842754997
3,38,station_3_19,0,16.204954842754997
3,39,,0,16.204954842754997
3,40,,0,16.204954842754997
3,41,station_3_14,0,16.204954842754997
3,42,station_5_18,0,16.204954842754997
3,43,station_2_11,0,16.204954842754997
3,44,station_0_7,0,16.204954842754997
3,45,,0,16.204954842754997
3,46,,0,16.204954842754997
3,47,station_5_20,0,16.204954842754997
3,48,station_3_2,0,16.204954842754997
3,49,station_3_11,0,16.204954842754997
4,0,station_3_6,0,17.015202584892748
4,1,,0,17.015202584892748
4,2,station_1_19,0,17.015202584892748
4,3,station_5_2,0,17.015202584892748
4,4,station_4_7,0,17.015202584892748
4,5,station_3_13,0,17.015202584892748
4,6,station_0_17,0,17.015202584892748
4,7,station_4_9,0,17.015202584892748
4,8,station_4_0,0,17.015202584892748
4,9,station_1_12,0,17.015202584892748
4,10,station_2_17,0,17.015202584892748
4,11,station_4_10,0,17.015202584892748
4,12,station_3_1,0,17.015202584892748
4,13,station_1_9,0,17.015202584892748
4,14,station_2_21,0,17.015202584892748
4,15,station_0_1,0,17.015202584892748
4,16,station_5_1,1,17.015202584892748
4,17,station_5_15,0,17.015202584892748
4,18,,0,17.015202584892748
4,19,,0,17.015202584892748
4,20,station_0_6,0,17.015202584892748
4,21,station_5_8,0,17.015202584892748
4,22,station_1_20,0,17.015202584892748
4,23,station_1_18,0,17.015202584892748
4,24,station_4_3,0,17.015202584892748
4,25,station_5_12,0,17.015202584892748
4,26,station_4_19,0,17.015202584892748
4,27,station_3_3,0,17.015202584892748
4,28,station_0_3,0,17.015202584892748
4,29,station_4_10,0,17.015202584892748
4,30,station_5_17,0,17.015202584892748
4,31,station_5_19,0,17.015202584892748
4,32,station_5_5,0,17.015202584892748
4,33,station_3_9,0,17.015202584892748
4,34,,0,17.015202584892748
4,35,,0,17.015202584892748
4,36,station_5_1,1,17.015202584892748
4,37,,0,17.015202584892748
4,38,station_4_19,0,17.015202584892748
4,39,,0,17.015202584892748
4,40,,0,17.015202584892748
4,41,station_3_14,0,17.015202584892748
4,42,station_5_18,0,17.015202584892748
4,43,station_2_11,0,17.015202584892748
4,44,station_0_7,0,17.015202584892748
4,45,,0,17.015202584892748
4,46,,0,17.015202584892748
4,47,station_4_10,0,17.015202584892748
4,48,station_3_2,0,17.015202584892748
4,49,station_3_11,0,17.015202584892748
5,0,station_3_6,0,17.865962714137385
5,1,,0,17.865962714137385
5,2,station_1_19,0,17.865962714137385
5,3,station_5_2,0,17.865962714137385
5,4,station_4_7,0,17.865962714137385
5,5,station_3_13,0,17.865962714137385
5,6,station_0_17,0,17.865962714137385
5,7,station_4_9,0,17.865962714137385
5,8,station_4_0,0,17.865962714137385
5,9,station_1_12,0,17.865962714137385
5,10,station_2_17,0,17.865962714137385
5,11,station_0_5,0,17.865962714137385
5,12,station_3_1,0,17.865962714137385
5,13,station_1_9,0,17.865962714137385
5,14,station_2_21,0,17.865962714137385
5,15,station_0_1,0,17.865962714137385
5,16,station_5_1,1,17.865962714137385
5,17,station_5_15,0,17.865962714137385
